"Date"	"Open"
318	468.73
319	476.77
320	469.75
321	472.49
322	473.73
323	483.46
324	486.11
325	491.5
326	482.92
327	494.72
328	490.43
329	509.84
330	506.99
331	497.7
332	501.6
333	502
334	492.47
335	480.15
336	482
337	478.37
338	467.59
339	468.12
340	472.51
341	474.56
342	485.5
343	479.3
344	492.09
345	486.49
346	496.7
347	481.61
348	466.72
349	480.88
350	498.35
351	534.16
352	514.04
353	516.28
354	539
355	536.5
356	545
357	550.76
358	545.99
359	542.3
360	530.88
361	536.51
362	519.58
363	532.47
364	527.68
365	544.1
366	544.97
367	545.14
368	545.36
369	556.98
370	555.35
371	564.51
372	576.35
373	566.5
374	561.49
375	548.76
376	556.24
377	549.56
378	568.06
379	579.75
380	577.08
381	565.33
382	576.5
383	582.5
384	583.47
385	574.79
386	567.94
387	544.96
388	546.96
389	551.95
390	578.52
391	574.63
392	578.55
393	581.43
394	579
395	586.49
396	586.23
397	574.75
398	579
399	586.2
400	590.27
401	591
402	598.86
403	598.49
404	578.31
405	562.21
406	550.83
407	545.88
408	549.02
409	551.29
410	557.94
411	537.57
412	539.39
413	535.21
414	455.63
415	444.4
416	458.13
417	457.16
418	464.07
419	464.96
420	469.13
421	473.04
422	477.03
423	457.01
424	461.73
425	469.9
426	447.74
427	435.64
428	447.46
429	446
430	452.59
431	457.46
432	438.43
433	427.32
434	441.11
435	428.98
436	427.99
437	442.98
438	432.67
439	440.01
440	425.26
441	428.83
442	428.88
443	447.69
444	445.25
445	450.95
446	471.51
447	471.87
448	470.5
449	460.13
450	461.2
451	505.95
452	502.06
453	512.85
454	503.51
455	534.94
456	528.31
457	538.35
458	522.5
459	523.39
460	520.52
461	509.41
462	496.86
463	511.14
464	489.43
465	509.07
466	528.67
467	539.01
468	549.19
469	560.47
470	570.97
471	591.81
472	558.8
473	560.71
474	562.03
475	608.36
476	620.76
477	628.97
478	645.9
479	651.14
480	642.7
481	645.01
482	630.04
483	653
484	653.94
485	679.69
486	685.26
487	692.87
488	698.57
489	704.93
490	707.07
491	698.99
492	694.99
493	697.88
494	685.83
495	674.21
496	674.16
497	688
498	687.51
499	696.31
500	714
501	719.94
502	715.99
503	714.99
504	697.8
505	692.73
506	678.31
507	691.01
508	711
509	690.75
510	682.11
511	674.8
512	680.2
513	670
514	643.77
515	636.48
516	629.59
517	633.94
